repository_name,Training Set,Test Set,Model,Loop Size,accuracy_mean,accuracy_std,AUC_mean,AUC_std,F-measure_mean,F-measure_std,MCC_mean,MCC_std
PROMISE,ivy-2.0,camel-1.6,TCA_NoN,1,0.552,0,0.532,0,0.303,0,0.052,0
PROMISE,ivy-2.0,camel-1.6,TCA_N1,1,0.541,0,0.56,0,0.334,0,0.095,0
PROMISE,ivy-2.0,camel-1.6,TCA_N2,1,0.642,0,0.588,0,0.353,0,0.146,0
PROMISE,ivy-2.0,camel-1.6,TCA_N3,1,0.631,0,0.46,0,0.16,0,-0.073,0
PROMISE,ivy-2.0,camel-1.6,TCA_N4,1,0.669,0,0.577,0,0.334,0,0.133,0
PROMISE,ivy-2.0,camel-1.6,TCA+_N2,1,0.642,0,0.588,0,0.353,0,0.146,0
PROMISE,camel-1.6,log4j-1.2,LR,1,0.654,0,0.583,0,0.78,0,0.094,0
PROMISE,camel-1.6,log4j-1.2,TCA_NoN,1,0.38,0,0.607,0,0.502,0,0.123,0
PROMISE,camel-1.6,log4j-1.2,TCA_N1,1,0.468,0,0.626,0,0.604,0,0.137,0
PROMISE,camel-1.6,log4j-1.2,TCA_N2,1,0.42,0,0.514,0,0.561,0,0.015,0
PROMISE,camel-1.6,log4j-1.2,TCA_N3,1,0.239,0,0.473,0,0.322,0,-0.036,0
PROMISE,camel-1.6,log4j-1.2,TCA_N4,1,0.42,0,0.542,0,0.558,0,0.046,0
PROMISE,camel-1.6,log4j-1.2,TCA+_N1,1,0.468,0,0.626,0,0.604,0,0.137,0
PROMISE,log4j-1.2,camel-1.6,LR,1,0.416,0,0.571,0,0.355,0,0.123,0
PROMISE,log4j-1.2,camel-1.6,TCA_NoN,1,0.518,0,0.548,0,0.325,0,0.075,0
PROMISE,log4j-1.2,camel-1.6,TCA_N1,1,0.495,0,0.562,0,0.341,0,0.099,0
PROMISE,log4j-1.2,camel-1.6,TCA_N2,1,0.361,0,0.496,0,0.304,0,-0.007,0
PROMISE,log4j-1.2,camel-1.6,TCA_N3,1,0.606,0,0.495,0,0.237,0,-0.008,0
PROMISE,log4j-1.2,camel-1.6,TCA_N4,1,0.361,0,0.494,0,0.303,0,-0.01,0
PROMISE,log4j-1.2,camel-1.6,TCA+_N1,1,0.495,0,0.562,0,0.341,0,0.099,0
PROMISE,camel-1.6,lucene-2.4,LR,1,0.512,0,0.529,0,0.517,0,0.059,0
PROMISE,camel-1.6,lucene-2.4,TCA_NoN,1,0.476,0,0.524,0,0.39,0,0.053,0
PROMISE,camel-1.6,lucene-2.4,TCA_N1,1,0.615,0,0.631,0,0.629,0,0.259,0
PROMISE,camel-1.6,lucene-2.4,TCA_N2,1,0.556,0,0.585,0,0.538,0,0.174,0
PROMISE,camel-1.6,lucene-2.4,TCA_N3,1,0.394,0,0.444,0,0.27,0,-0.13,0
PROMISE,camel-1.6,lucene-2.4,TCA_N4,1,0.562,0,0.595,0,0.536,0,0.196,0
PROMISE,camel-1.6,lucene-2.4,TCA+_N2,1,0.556,0,0.585,0,0.538,0,0.174,0
PROMISE,lucene-2.4,camel-1.6,LR,1,0.541,0,0.592,0,0.364,0,0.146,0
PROMISE,lucene-2.4,camel-1.6,TCA_NoN,1,0.525,0,0.52,0,0.295,0,0.031,0
PROMISE,lucene-2.4,camel-1.6,TCA_N1,1,0.48,0,0.564,0,0.345,0,0.104,0
